CATEGORIA,ATRIBUTO_1,ATRIBUTO_2,ATRIBUTO_3,PRESENTACION,SEGMENTO
1,CLORO,CLORO,BAMBINO,LIQUIDO,LEJÍA
1,CLORO,CLORO,GERMICIDA,LIQUIDO,LEJÍA
1,CLORO,CLORO,MASCOTAS,LIQUIDO,LEJÍA
1,CLORO,CLORO,MULTIUSOS,GEL,LEJÍA
1,CLORO,CLORO,MULTIUSOS,LIQUIDO,LEJÍA
1,CLORO,CLORO,NO DEFINIDO,LIQUIDO,LEJÍA
1,CLORO,CLORO,NO DEFINIDO,POLVO,LEJÍA
1,CLORO,CLORO,OTR. TIPOS,LIQUIDO,LEJÍA
1,CLORO,CLORO,OTR. TIPOS,POLVO,LEJÍA
1,CLORO,CLORO,ROPA BEBE,LIQUIDO,LEJÍA
1,CLORO,CLORO,NO VALIDO,LIQUIDO,LEJÍA
1,CLORO,MASCOTAS,MASCOTAS,LIQUIDO,LEJÍA
1,CLORO,MULTIUSOS,MULTIUSOS,GEL,LEJÍA
1,CLORO,NO DEFINIDO,NO DEFINIDO,LIQUIDO,LEJÍA
1,PRELAVADOR,TRATAMIENTO DEL TEJIDO,BLANCO,GEL,LÍQUIDO Y GEL
1,PRELAVADOR,TRATAMIENTO DEL TEJIDO,BLANCO,POLVO,POLVO
1,PRELAVADOR,TRATAMIENTO DEL TEJIDO,BLANCO,TOALLAS,OTROS
1,PRELAVADOR,TRATAMIENTO DEL TEJIDO,OTR. TIPOS,LIQUIDO,PRETRATAMIENTO
1,PRELAVADOR,TRATAMIENTO DEL TEJIDO,PRE LAVADOR,LIQUIDO,PRETRATAMIENTO
1,PRELAVADOR,TRATAMIENTO DEL TEJIDO,PRE LAVADOR,POLVO,POLVO
1,PRELAVADOR,TRATAMIENTO DEL TEJIDO,QUITAMANCHAS,LIQUIDO,PRETRATAMIENTO
1,PRELAVADOR,TRATAMIENTO DEL TEJIDO,ROPA COLOR,LIQUIDO,PRETRATAMIENTO
1,PRELAVADOR,TRATAMIENTO DEL TEJIDO,ROSA,GEL,LÍQUIDO Y GEL
1,PRELAVADOR,TRATAMIENTO DEL TEJIDO,ROSA,LIQUIDO,PRETRATAMIENTO
1,PRELAVADOR,TRATAMIENTO DEL TEJIDO,ROSA,POLVO,POLVO
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,BLANCO,BARRA,BARRA
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,BLANCO,GEL,LÍQUIDO Y GEL
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,BLANCO,LIQUIDO,LÍQUIDO Y GEL
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,BLANCO,POLVO,POLVO
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,COLOR PODER VINAGRE,GEL,LÍQUIDO Y GEL
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,COLOR PODER VINAGRE,LIQUIDO,LÍQUIDO Y GEL
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,OTR. TIPOS,BARRA,BARRA
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,OTR. TIPOS,GEL,LÍQUIDO Y GEL
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,OTR. TIPOS,LIQUIDO,LÍQUIDO Y GEL
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,OTR. TIPOS,POLVO,POLVO
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,PODER OXIGENO,GEL,LÍQUIDO Y GEL
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,PRE LAVADOR,BARRA,BARRA
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,PRE LAVADOR,GEL,LÍQUIDO Y GEL
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,PRE LAVADOR,LIQUIDO,PRETRATAMIENTO
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,PRE LAVADOR,POLVO,POLVO
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,QUITAMANCHAS,GEL,LÍQUIDO Y GEL
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,QUITAMANCHAS,LIQUIDO,LÍQUIDO Y GEL
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,QUITAMANCHAS,POLVO,POLVO
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,ROPA BLANCA,LIQUIDO,LÍQUIDO Y GEL
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,ROPA BLANCA,POLVO,POLVO
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,ROPA COLOR,LIQUIDO,LÍQUIDO Y GEL
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,ROPA COLOR,POLVO,POLVO
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,ROSA,BARRA,BARRA
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,ROSA,GEL,LÍQUIDO Y GEL
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,ROSA,LIQUIDO,LÍQUIDO Y GEL
1,LEJÍA SEGURA,TRATAMIENTO DEL TEJIDO,ROSA,POLVO,POLVO
1,LEJÍA SEGURA,PRE LAVADOR,PRE LAVADOR,GEL,PRETRATAMIENTO
1,SANITIZANTE,SANITIZANTE,SANITIZANTE,LIQUIDO,DESINFECTANTE
