ARTICULO,VENTAS UNIDADES TOTALES,VALORES VENTAS TOTALES,VENTAS SEMANALES PROMEDIO TOTAL POR UNIDAD,REGION,FECHA,SEMANA,# SEMANA,MES,AÑO
7501058784346,1.468,301.973,2.068,TOTAL AUTOS SCANNING MEXICO,2023-07-03,26-23,26,7,2023
7891035040276,47.708,601.45,21.945,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
7501025402051,59.381,2058.481,25.885,TOTAL AUTOS SCANNING MEXICO,2023-06-19,24-23,24,6,2023
7501025401917,1.546,103.681,2.944,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501025401887,0.562,12.737,3.193,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501025401894,0.362,12.198,2.549,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501025401900,2.689,116.877,2.289,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501025412401,0.005,0.142,5.0,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501025405885,1.716,44.137,3.628,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501025401801,39.522,604.123,23.808,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501025405090,101.221,1533.933,35.983,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501025401795,35.749,821.764,18.174,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501025405212,59.994,1276.937,26.569,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501025401252,5.356,46.379,103.0,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501021160726,0.283,12.15,5.549,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501681100469,3.686,58.498,7.842,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501058716422,0.076,5.039,2.054,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
737128127004,0.095,1.17,2.375,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501681100292,1.99,56.432,4.053,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501025402235,3.302,120.932,5.918,TOTAL AUTOS SCANNING MEXICO,2023-06-19,24-23,24,6,2023
7501025402242,8.692,311.94,8.915,TOTAL AUTOS SCANNING MEXICO,2023-06-19,24-23,24,6,2023
7501025412142,0.454,64.934,3.361,TOTAL AUTOS SCANNING MEXICO,2023-06-19,24-23,24,6,2023
7501681100018,0.513,4.38,36.643,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501681100087,1.151,34.477,15.554,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501681100438,0.3,5.549,4.615,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501681100766,7.142,211.932,12.313,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501681100445,0.13,2.708,4.063,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501681100223,25.985,775.492,21.672,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
75016811006502,0.031,0.191,3.444,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
75016811006432,0.088,0.554,4.19,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501681101299,0.283,2.756,6.902,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501025408404,0.525,58.785,5.899,TOTAL AUTOS SCANNING MEXICO,2023-06-19,24-23,24,6,2023
7501026030109,0.014,0.361,1.75,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
737128247009,0.126,1.02,3.316,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501681100254,5.66,93.281,8.324,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7503000256017,0.001,0.01,1.0,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501681100674,0.798,53.592,3.424,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
75016811006501,0.031,0.406,3.444,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501205412122,9.834,302.756,8.82,TOTAL AUTOS SCANNING MEXICO,2023-06-19,24-23,24,6,2023
7501681100421,5.279,91.607,11.09,TOTAL AUTOS SCANNING MEXICO,2022-06-19,24-22,24,6,2022
7501058796851,9.717,168.931,24.112,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
7501681100209,1.544,46.148,21.151,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501058714596,56.939,704.321,24.984,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
7503002319536,4.687,508.352,3.808,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
7501058716088,0.326,56.522,1.918,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
7501058757791,3.458,631.453,3.529,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
7501058715364,0.006,0.135,3.0,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
7501058752772,0.655,16.834,6.824,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
7501058716477,0.515,13.21,10.519,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
7501058757548,10.947,426.062,9.81,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
7503002319529,19.811,1137.654,7.843,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
75010587865481,0.001,0.047,1.0,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
75010587865481,0.001,0.048,1.0,TOTAL AUTOS SCANNING MEXICO,2022-06-19,24-22,24,6,2022
75010587928082,0.003,0.028,1.0,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
7501058712813,0.001,0.058,1.0,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
7501681100513,25.773,291.669,26.819,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
75016811006431,0.088,1.125,4.19,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501025412104,13.693,223.112,12.001,TOTAL AUTOS SCANNING MEXICO,2022-07-10,27-22,27,7,2022
7501681100384,2.964,38.025,10.7,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
7501681100773,15.159,279.192,13.681,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
77026262042081,12.415,147.403,14.606,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
7501058784346,3.158,516.72,3.49,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
7501058796868,10.571,183.655,26.694,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
7501058796585,0.484,45.055,3.123,TOTAL AUTOS SCANNING MEXICO,2022-06-19,24-22,24,6,2022
7501058796837,0.002,0.042,1.0,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
7891035040191,0.009,0.116,1.125,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
7501058751188,2.933,319.034,3.061,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
7501058716095,0.265,43.993,1.636,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
7501058751461,1.38,253.417,2.509,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
75010587949562,0.018,0.488,1.286,TOTAL AUTOS SCANNING MEXICO,2022-06-19,24-22,24,6,2022
75010587965781,0.123,5.572,2.158,TOTAL AUTOS SCANNING MEXICO,2022-06-19,24-22,24,6,2022
7501058716453,0.001,0.07,1.0,TOTAL AUTOS SCANNING MEXICO,2022-06-19,24-22,24,6,2022
7501058796844,0.304,5.828,12.65,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
7503002319536,4.838,467.387,3.998,TOTAL AUTOS SCANNING MEXICO,2022-06-19,24-22,24,6,2022
7501058716088,0.398,56.84,1.869,TOTAL AUTOS SCANNING MEXICO,2022-06-19,24-22,24,6,2022
7501058757791,2.946,564.856,3.0,TOTAL AUTOS SCANNING MEXICO,2022-06-19,24-22,24,6,2022
7501058715364,0.01,0.225,3.333,TOTAL AUTOS SCANNING MEXICO,2022-06-19,24-22,24,6,2022
7501058752772,0.516,14.632,5.432,TOTAL AUTOS SCANNING MEXICO,2022-06-19,24-22,24,6,2022
7501058716477,0.436,8.152,8.72,TOTAL AUTOS SCANNING MEXICO,2022-06-19,24-22,24,6,2022
7501058757548,9.251,349.226,8.558,TOTAL AUTOS SCANNING MEXICO,2022-06-19,24-22,24,6,2022
7501681100216,1.458,43.576,20.535,TOTAL AUTOS SCANNING MEXICO,2022-08-28,34-22,34,8,2022
75010587927781,0.005,0.365,1.0,TOTAL AUTOS SCANNING MEXICO,2022-11-06,44-22,44,11,2022
7501021160719,1.89,99.077,3.573,TOTAL AUTOS SCANNING MEXICO,2022-06-19,24-22,24,6,2022
75016811006502,0.036,0.225,4.5,TOTAL AUTOS SCANNING MEXICO,2022-07-10,27-22,27,7,2022
7891035040276,39.822,499.2,19.578,TOTAL AUTOS SCANNING MEXICO,2022-06-19,24-22,24,6,2022
